iter	Passed	Remaining
655	915	480
656	916	478
657	918	477
658	918	475
659	919	473
660	920	472
661	922	470
662	923	469
663	924	467
664	925	466
665	926	464
666	927	463
667	929	461
668	930	460
669	931	458
670	933	457
671	933	455
672	934	454
673	936	452
674	937	451
675	938	449
676	939	448
677	940	446
678	941	445
679	943	443
680	944	442
681	945	440
682	946	439
683	947	437
684	948	436
685	950	434
686	951	433
687	952	432
688	953	430
689	954	428
690	955	427
691	956	425
692	958	424
693	959	422
694	960	421
695	962	420
696	963	418
697	964	417
698	965	415
699	966	414
700	967	412
701	968	411
702	970	409
703	971	408
704	972	407
705	973	405
706	974	404
707	975	402
708	976	400
709	978	399
710	979	398
711	981	396
712	983	395
713	984	394
714	985	392
715	986	391
716	988	390
717	989	388
718	990	387
719	991	385
720	993	384
721	994	383
722	996	381
723	997	380
724	998	378
725	999	377
726	1000	375
727	1001	374
728	1001	372
729	1003	371
730	1004	369
731	1005	368
732	1006	366
733	1008	365
734	1008	363
735	1009	362
736	1010	360
737	1011	359
738	1013	357
739	1014	356
740	1015	354
741	1015	353
742	1016	351
743	1017	350
744	1018	348
745	1020	347
746	1022	346
747	1023	344
748	1024	343
749	1025	341
750	1026	340
751	1027	338
752	1028	337
753	1029	335
754	1030	334
755	1031	333
756	1033	331
757	1034	330
758	1035	328
759	1037	327
760	1038	326
761	1039	324
762	1040	323
763	1042	321
764	1042	320
765	1043	318
766	1045	317
767	1047	316
768	1048	314
769	1049	313
770	1050	311
771	1051	310
772	1053	309
773	1053	307
774	1054	306
775	1056	304
776	1057	303
777	1059	302
778	1060	300
779	1061	299
780	1062	297
781	1063	296
782	1064	294
783	1065	293
784	1066	292
785	1068	290
786	1069	289
787	1071	288
788	1073	286
789	1074	285
790	1075	284
791	1077	282
792	1078	281
793	1079	280
794	1080	278
795	1082	277
796	1083	275
797	1084	274
798	1086	273
799	1087	271
800	1088	270
801	1089	269
802	1091	267
803	1092	266
804	1093	264
805	1094	263
806	1095	262
807	1097	260
808	1098	259
809	1100	258
810	1101	256
811	1102	255
812	1104	254
813	1107	253
814	1109	251
815	1111	250
816	1112	249
817	1114	248
818	1116	246
819	1117	245
820	1118	243
821	1120	242
822	1121	241
823	1123	239
824	1124	238
825	1125	236
826	1126	235
827	1127	234
828	1129	232
829	1130	231
830	1131	230
831	1132	228
832	1133	227
833	1134	225
834	1136	224
835	1137	223
836	1138	221
837	1139	220
838	1140	218
839	1141	217
840	1142	216
841	1144	214
842	1145	213
843	1146	211
844	1148	210
845	1149	209
846	1150	207
847	1151	206
848	1152	205
849	1153	203
850	1155	202
851	1156	200
852	1156	199
853	1158	197
854	1159	196
855	1160	195
856	1161	193
857	1162	192
858	1163	191
859	1165	189
860	1166	188
861	1166	186
862	1167	185
863	1169	184
864	1170	182
865	1171	181
866	1172	179
867	1174	178
868	1175	177
869	1176	175
870	1177	174
871	1177	172
872	1178	171
873	1180	170
874	1181	168
875	1182	167
876	1183	165
877	1184	164
878	1185	163
879	1186	161
880	1187	160
881	1188	158
882	1189	157
883	1190	156
884	1191	154
885	1193	153
886	1194	152
887	1194	150
888	1196	149
889	1197	147
890	1198	146
891	1200	145
892	1201	143
893	1202	142
894	1202	141
895	1204	139
896	1205	138
897	1207	137
898	1209	135
899	1210	134
900	1211	133
901	1213	131
902	1214	130
903	1216	129
904	1217	127
905	1219	126
906	1220	125
907	1221	123
908	1222	122
909	1223	120
910	1224	119
911	1225	118
912	1226	116
913	1227	115
914	1228	114
915	1229	112
916	1231	111
917	1232	110
918	1233	108
919	1234	107
920	1235	105
921	1236	104
922	1237	103
923	1238	101
924	1239	100
925	1241	99
926	1242	97
927	1243	96
928	1244	95
929	1245	93
930	1246	92
931	1247	91
932	1248	89
933	1249	88
934	1250	86
935	1251	85
936	1252	84
937	1253	82
938	1254	81
939	1256	80
940	1257	78
941	1258	77
942	1259	76
943	1260	74
944	1261	73
945	1262	72
946	1264	70
947	1264	69
948	1265	68
949	1266	66
950	1267	65
951	1268	63
952	1270	62
953	1271	61
954	1272	59
955	1274	58
956	1275	57
957	1276	55
958	1277	54
959	1278	53
960	1279	51
961	1280	50
962	1282	49
963	1283	47
964	1285	46
965	1286	45
966	1287	43
967	1288	42
968	1289	41
969	1290	39
970	1291	38
971	1292	37
972	1293	35
973	1294	34
974	1295	33
975	1297	31
976	1298	30
977	1299	29
978	1300	27
979	1301	26
980	1302	25
981	1303	23
982	1304	22
983	1305	21
984	1306	19
985	1307	18
986	1309	17
987	1311	15
988	1312	14
989	1313	13
990	1315	11
991	1316	10
992	1317	9
993	1318	7
994	1320	6
995	1322	5
996	1323	3
997	1324	2
998	1325	1
999	1326	0
